title,description,url,course_number,topics,instructors,availability,year
Common Sense Reasoning for Interactive Applications,"This course will explore the state of the art in common sense knowledge, and class projects will design and build interfaces that can exploit this knowledge to make more usable and helpful interfaces. Course requirements will consist of critiques of class readings (about 2 papers/week), and a final project (paper or computer implementation project). Grades will be based primarily on the projects, as well as a small component for class and online participation",https://ocw.mit.edu/courses/mas-964-common-sense-reasoning-for-interactive-applications-fall-2002/,MAS-964,"Data Science, Analytics & Computer Technology; AI; Software Design and Engineering; User Experience; Machine Learning; Computer Science; Engineering",Prof. Henry Lieberman,Anytime,2002
Computational Models of Discourse,"This course is a graduate level introduction to automatic discourse processing. The emphasis will be on methods and models that have applicability to natural language and speech processing. The class will cover the following topics: discourse structure, models of coherence and cohesion, plan recognition algorithms, and text segmentation. We will study symbolic as well as machine learning methods for discourse analysis. We will also discuss the use of these methods in a variety of applications ranging from dialogue systems to automatic essay writing. This subject qualifies as an Artificial Intelligence and Applications concentration subject.",https://ocw.mit.edu/courses/6-892-computational-models-of-discourse-spring-2004/,6-892,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Linguistics; Engineering; Humanities",Prof. Regina Barzilay,Anytime,2004
Day of AI,"This resource is to support teachers and educators to run Day of AI activities in their classrooms through curriculum packages and teacher training, all of which is available at no cost to participants. Developed by leading faculty and educators from MIT RAISE, the curriculum features up to four hours of hands-on activities that engage kids in creative discovery, discussion, and play as they learn the fundamentals of AI, investigate the societal impact of these technologies, and bring artificial intelligence to life through lessons and activities that are accessible to all, even those with no computer science or technical background.",https://ocw.mit.edu/courses/res-mas-002-day-of-ai-spring-2022/,RES-MAS-002,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Education & Teaching; Pedagogy and Curriculum; Engineering",MIT RAISE,Anytime,2022
Deep Learning,"This course covers the fundamentals of deep learning, including both theory and applications. Topics include neural net architectures (MLPs, CNNs, RNNs, graph nets, transformers), geometry and invariances in deep learning, backpropagation and automatic differentiation, learning theory and generalization in high dimensions, and applications to computer vision, natural language processing, and robotics.",https://ocw.mit.edu/courses/6-7960-deep-learning-fall-2024/,6-7960,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Visualization; Computer Science; Engineering",Prof. Phillip Isola; Prof. Sara Beery; Dr. Jeremy Bernstein,Anytime,2024
Ethics for Engineers: Artificial Intelligence,"Artificial Intelligence (AI), and the algorithmic judgment at its core, is developing at breakneck speed. This version of the popular Ethics for Engineers course focuses on the ethics issues involved in the latest developments of computer science.",https://ocw.mit.edu/courses/10-01-ethics-for-engineers-artificial-intelligence-spring-2020/,10-01,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Philosophy; Engineering; Humanities",Prof. Bernhardt Trout; Daniel Doneson,Anytime,2020
Ethics of AI Bias,"This video aims to delve into the human problems brought out by issues in artificial intelligence, specifically with respect to bias. It is suitable for classroom use or as a standalone video for those who wish to understand the issue more deeply than is conventionally covered. For classroom use, we recommend watching the chapterized version of the video and working through the teaching materials provided for each chapter.",https://ocw.mit.edu/courses/res-10-002-ethics-of-ai-bias-spring-2023/,RES-10-002,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Philosophy; Engineering; Humanities",Prof. Bernhardt Trout; Prof. Svetozar Minkov,Anytime,2023
Exploring Fairness in Machine Learning for International Development,"In an effort to build the capacity of the students and faculty on the topics of bias and fairness in machine learning (ML) and appropriate use of ML, the MIT CITE team developed capacity-building activities and material. This material covers content through four modules that an be integrated into existing courses over a one to two week period.",https://ocw.mit.edu/courses/res-ec-001-exploring-fairness-in-machine-learning-for-international-development-spring-2020/,RES-EC-001,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Education & Teaching; Pedagogy and Curriculum; Engineering",Dr. Richard Fletcher; Prof. Daniel Frey; Dr. Mike Teodorescu; Amit Gandhi; Audace Nakeshimana,Anytime,2020
Foundation Models and Generative AI,"ChatGPT, Copilot, CLIP, Dall-E, Stable-Diffusion, AlphaFold, self-driving cars—is now the time that artificial intelligence (AI) lives up to all its hype? What’s the secret sauce behind these recent breakthroughs within AI? They’re called foundation models and generative AI, and it is changing everything. With the help of it, some believe that artificial general intelligence (AGI) has already been achieved. In this non-technical series of lectures, we will start with a short history of AI, then move on to with what supervised learning and reinforcement learning is missing, and conclude with the deep practical and foundational implications foundation models and how we arrive at them via self-supervised learning. We cover applications in both science and business. All backgrounds are welcome.",https://ocw.mit.edu/courses/6-s087-foundation-models-and-generative-ai-january-iap-2024/,6-S087,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering",Rickard Gabrielsson,Anytime,2024
Hands-on Deep Learning,"This is a fast-paced introduction to deep learning with an emphasis on developing a practical understanding of how to build models to solve complex problems involving unstructured data. Topics include the basics of deep neural networks and how to set up and train them, convolutional networks to process images and videos, transformers for natural language processing, generative large language models (such as ChatGPT), and text-to-image models (such as Midjourney). Prior familiarity with Python and fundamental machine learning concepts (such as training/validation/testing, overfitting/underfitting, and regularization) is required.",https://ocw.mit.edu/courses/15-773-hands-on-deep-learning-spring-2024/,15-773,"Digital Business & IT; Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Business & Management; Engineering",Prof. Rama Ramakrishnan,Anytime,2024
How to AI (Almost) Anything,"Artificial Intelligence (AI) holds great promise as a technology to enhance digital productivity, physical interactions, overall well-being, and the human experience. To enable the true impact of AI, these systems will need to be grounded in real-world data modalities, from language-only systems to vision, audio, sensors, medical data, music, art, smell, and taste. This course will introduce the basic principles of AI (focusing on modern deep learning and foundation models) and how we can apply AI to novel real-world data modalities. In addition, we will introduce the principles of multimodal AI that can process many modalities at once, such as connecting language and multimedia, music and art, sensing and actuation, and more. Through lectures, readings, discussions, and a significant research component, this course will develop critical thinking skills and intuitions when applying AI to new data modalities, knowledge of recent technical achievements in AI, and a deeper understanding of the AI research process.",https://ocw.mit.edu/courses/mas-s60-how-to-ai-almost-anything-spring-2025/,MAS-S60,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering",Prof. Paul Liang,Anytime,2025
"Identification, Estimation, and Learning","This course provides a broad theoretical basis for system identification, estimation, and learning. Students will study least squares estimation and its convergence properties, Kalman filters, noise dynamics and system representation, function approximation theory, neural nets, radial basis functions, wavelets, Volterra expansions, informative data sets, persistent excitation, asymptotic variance, central limit theorems, model structure selection, system order estimate, maximum likelihood, unbiased estimates, Cramer-Rao lower bound, Kullback-Leibler information distance, Akaike’s information criterion, experiment design, and model validation.",https://ocw.mit.edu/courses/2-160-identification-estimation-and-learning-spring-2006/,2-160,"Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Engineering; Electrical Engineering; Systems Engineering; Mechanical Engineering",Prof. Harry Asada,Anytime,2006
Introduction to Electrical Engineering and Computer Science I,"This course provides an integrated introduction to electrical engineering and computer science, taught using substantial laboratory experiments with mobile robots. Our primary goal is for you to learn to appreciate and use the fundamental design principles of modularity and abstraction in a variety of contexts from electrical engineering and computer science. Our second goal is to show you that making mathematical models of real systems can help in the design and analysis of those systems. Finally, we have the more typical goals of teaching exciting and important basic material from electrical engineering and computer science, including modern software engineering, linear systems analysis, electronic circuits, and decision-making. Course Format This course has been designed for independent study. It includes all of the materials you will need to understand the concepts covered in this subject. The materials in this course include: Lecture videos from Spring 2011, taught by Prof. Dennis Freeman Recitation videos, developed for OCW Scholar by teaching assistant Kendra Pugh Course notes Software and design labs Homework assignments and additional exercises Nano-quizzes and exams with solutions Content Development Leslie Kaelbling Jacob White Harold Abelson Dennis Freeman Tomás Lozano-Pérez Isaac Chuang",https://ocw.mit.edu/courses/6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011/,6-01SC,"Data Science, Analytics & Computer Technology; AI; Software Design and Engineering; Machine Learning; Computer Science; Engineering; Electrical Engineering",Prof. Leslie Kaelbling; Prof. Jacob White; Prof. Harold Abelson; Prof. Dennis Freeman; Prof. Tomás Lozano-Pérez; Prof. Isaac Chuang,Anytime,2011
Introduction to Machine Learning,"This course introduces principles, algorithms, and applications of machine learning from the point of view of modeling and prediction. It includes formulation of learning problems and concepts of representation, over-fitting, and generalization. These concepts are exercised in supervised learning and reinforcement learning, with applications to images and to temporal sequences. This course is part of the Open Learning Library, which is free to use. You have the option to sign up and enroll in the course if you want to track your progress, or you can view and use all the materials without enrolling.",https://ocw.mit.edu/courses/6-036-introduction-to-machine-learning-fall-2020/,6-036,"Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Engineering",Prof. Leslie Kaelbling; Prof. Tomás Lozano-Pérez; Prof. Isaac Chuang; Prof. Duane Boning,Anytime,2020
Knowledge-Based Applications Systems,"This course covers the development of programs containing a significant amount of knowledge about their application domain. The course includes a brief review of relevant AI techniques; case studies from a number of application domains, chosen to illustrate principles of system development; a discussion of technical issues encountered in building a system, including selection of knowledge representation, knowledge acquisition, etc.; and a discussion of current and future research. The course also provides hands-on experience in building an expert system (term project).",https://ocw.mit.edu/courses/6-871-knowledge-based-applications-systems-spring-2005/,6-871,"Digital Business & IT; Data Science, Analytics & Computer Technology; AI; Software Design and Engineering; Machine Learning; Computer Science; Data Science; Business & Management; Engineering",Prof. Randall Davis,Anytime,2005
Machine Learning for Inverse Graphics,"This course covers fundamental and advanced techniques in this field at the intersection of computer vision, computer graphics, and geometric deep learning. It will lay the foundations of how cameras see the world, how we can represent 3D scenes for artificial intelligence, how we can learn to reconstruct these representations from only a single image, how we can guarantee certain kinds of generalizations, and how we can train these models in a self-supervised way.",https://ocw.mit.edu/courses/6-s980-machine-learning-for-inverse-graphics-fall-2022/,6-S980,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Visualization; Computer Science; Engineering",Prof. Vincent Sitzmann,Anytime,2022
Machine Learning,"6.867 is an introductory course on machine learning which gives an overview of many concepts, techniques, and algorithms in machine learning, beginning with topics such as classification and linear regression and ending up with more recent topics such as boosting, support vector machines, hidden Markov models, and Bayesian networks. The course will give the student the basic ideas and intuition behind modern machine learning methods as well as a bit more formal understanding of how, why, and when they work. The underlying theme in the course is statistical inference as it provides the foundation for most of the methods covered.",https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/,6-867,"Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Science & Math; Cognitive Science; Mathematics; Engineering",Rohit Singh; Prof. Tommi Jaakkola; Ali Mohammad,Anytime,2006
Machine Vision,"Machine Vision provides an intensive introduction to the process of generating a symbolic description of an environment from an image. Lectures describe the physics of image formation, motion vision, and recovering shapes from shading. Binary image processing and filtering are presented as preprocessing steps. Further topics include photogrammetry, object representation alignment, analog VLSI and computational vision. Applications to robotics and intelligent machine interaction are discussed.",https://ocw.mit.edu/courses/6-801-machine-vision-fall-2004/,6-801,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering; Electrical Engineering; Systems Engineering",Prof. Berthold Horn,Anytime,2004
Mathematics of Machine Learning,"Broadly speaking, Machine Learning refers to the automated identification of patterns in data. As such it has been a fertile ground for new statistical and algorithmic developments. The purpose of this course is to provide a mathematically rigorous introduction to these developments with emphasis on methods and their analysis. You can read more about Prof. Rigollet’s work and courses on his website.",https://ocw.mit.edu/courses/18-657-mathematics-of-machine-learning-fall-2015/,18-657,"Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Data Science; Science & Math; Mathematics; Engineering",Prof. Philippe Rigollet,Anytime,2015
Media Literacy in the Age of Deepfakes,"Media Literacy in the Age of Deepfakes aims to equip students with the critical skills to better understand the past and contemporary threat of misinformation. Students will learn about different ways to analyze emerging forms of misinformation such as “deepfake” videos as well as how new technologies can be used to create a more just and equitable society. This module consists of three interconnected sections. We begin by defining and contextualizing some key terms related to misinformation. We then focus on the proliferation of deepfakes within our media environment. Lastly, we explore synthetic media for the civic good, including AI-enabled projects geared towards satire, investigative documentary, and public history. In Event of Moon Disaster, an award-winning deepfake art installation about the “failed” Apollo 11 moon landing, serves as a central case study. This learning module also includes a suite of educator resources that consists of a syllabus, bibliography, and design prompts. We encourage teachers to draw on and adapt these resources for the purposes of their own classes. Visit Media Literacy in the Age of Deepfakes to access the learning module and educator resources. A sample of some of these materials can be found on OCW. This course was produced by the MIT Center for Advanced Virtuality, with support from the J-WEL: Abdul Latif Jameel World Education Lab.",https://ocw.mit.edu/courses/res-cms-001-media-literacy-in-the-age-of-deepfakes-spring-2021/,RES-CMS-001,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Art, Design & Architecture; Media Studies; Engineering",Prof. Joshua Glick; Prof. D. Fox Harrell,Anytime,2021
Medical Artificial Intelligence,"This course provides an intensive introduction to artificial intelligence and its applications to problems of medical diagnosis, therapy selection, and monitoring and learning from databases. It meets with lectures and recitations of 6.034 Artificial Intelligence, whose material is supplemented by additional medical-specific readings in a weekly discussion session. Students are responsible for completing all homework assignments in 6.034 and for additional problems and/or papers.",https://ocw.mit.edu/courses/hst-947-medical-artificial-intelligence-spring-2005/,HST-947,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Health & Medicine; Biomedical Technologies; Engineering; Biological Engineering",Prof. Lucila Ohno-Machado; Prof. Peter Szolovits,Anytime,2005
Medical Decision Support,"This course presents the main concepts of decision analysis, artificial intelligence and predictive model construction and evaluation in the specific context of medical applications. It emphasizes the advantages and disadvantages of using these methods in real-world systems and provides hands-on experience. Its technical focus is on decision support, knowledge-based systems (qualitative and quantitative), learning systems (including logistic regression, classification trees, neural networks, rough sets), and techniques to evaluate the performance of such systems. It reviews computer-based diagnosis, planning and monitoring of therapeutic interventions. It also discusses implemented medical applications and the software tools used in their construction. Students produce a final project using the machine learning methods learned in the course, based on actual clinical data. Lecturers Prof. Stephan Dreiseitl Prof. Ju Jan Kim Prof. Bill Long Prof. Marco Ramoni Prof. Fred Resnic Prof. David Wypij",https://ocw.mit.edu/courses/hst-951j-medical-decision-support-spring-2003/,HST-951J,"Digital Business & IT; Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Health & Medicine; Biomedical Technologies; Business & Management; Engineering; Biological Engineering",Prof. Isaac Kohane; Prof. Lucila Ohno-Machado; Prof. Peter Szolovits; Prof. Staal Vinterbo,Anytime,2003
Minds and Machines,This course is an introduction to many of the central issues in a branch of philosophy called philosophy of mind.,https://ocw.mit.edu/courses/24-09-minds-and-machines-fall-2011/,24-09,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Social Sciences; Psychology; Science & Math; Cognitive Science; Philosophy; Engineering; Humanities",Prof. Alex Byrne,Anytime,2011
Mobile Autonomous Systems Laboratory,"MASLab (Mobile Autonomous System Laboratory), also known as 6.186, is a robotics contest. The contest takes place during MIT’s Independent Activities Period and participants earn 6 units of P/F credit and 6 Engineering Design Points. Teams of three to four students have less than a month to build and program sophisticated robots which must explore an unknown playing field and perform a series of tasks. MASLab provides a significantly more difficult robotics problem than many other university-level robotics contests. Although students know the general size, shape, and color of the floors and walls, the students do not know the exact layout of the playing field. In addition, MASLab robots are completely autonomous, or in other words, the robots operate, calculate, and plan without human intervention. Finally, MASLab is one of the few robotics contests in the country to use a vision based robotics problem.",https://ocw.mit.edu/courses/6-186-mobile-autonomous-systems-laboratory-january-iap-2005/,6-186,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering; Electrical Engineering; Mechanical Engineering",Prof. Leslie Kaelbling,Anytime,2005
Natural Language and the Computer Representation of Knowledge,"6.863 is a laboratory-oriented course on the theory and practice of building computer systems for human language processing, with an emphasis on the linguistic, cognitive, and engineering foundations for understanding their design.",https://ocw.mit.edu/courses/6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003/,6-863J,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Science & Math; Cognitive Science; Linguistics; Engineering; Humanities",Prof. Robert Berwick,Anytime,2003
"Out of Context: A Course on Computer Systems That Adapt To, and Learn From, Context","Increasingly, we are realizing that to make computer systems more intelligent and responsive to users, we will have to make them more sensitive to context. Traditional hardware and software design overlooks context because it conceptualizes systems as input-output functions. Systems take input explicitly given to them by a human, act upon that input alone and produce explicit output. But this view is too restrictive. Smart computers, intelligent agent software, and digital devices of the future will also have to operate on data that they observe or gather for themselves. They may have to sense their environment, decide which aspects of a situation are really important, and infer the user’s intention from concrete actions. The system’s actions may be dependent on time, place, or the history of interaction, in other words, dependent upon context. But what exactly is context? We’ll look at perspectives from machine learning, sensors and embedded devices, information visualization, philosophy and psychology. We’ll see how each treats the problem of context, and discuss the implications for design of context-sensitive hardware and software. Course requirements will consist of critiques of class readings (about 3 papers/week), and a final project (paper or computer implementation project).",https://ocw.mit.edu/courses/mas-963-out-of-context-a-course-on-computer-systems-that-adapt-to-and-learn-from-context-fall-2001/,MAS-963,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Science & Math; Cognitive Science; Engineering",Prof. Henry Lieberman,Anytime,2001
Pattern Recognition for Machine Vision,"The applications of pattern recognition techniques to problems of machine vision is the main focus for this course. Topics covered include, an overview of problems of machine vision and pattern classification, image formation and processing, feature extraction from images, biological object recognition, bayesian decision theory, and clustering.",https://ocw.mit.edu/courses/9-913-pattern-recognition-for-machine-vision-fall-2004/,9-913,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Science & Math; Cognitive Science; Engineering; Electrical Engineering",Dr. Bernd Heisele; Dr. Yuri Ivanov,Anytime,2004
Principles of Autonomy and Decision Making,"This course surveys a variety of reasoning, optimization and decision making methodologies for creating highly autonomous systems and decision support aids. The focus is on principles, algorithms, and their application, taken from the disciplines of artificial intelligence and operations research. Reasoning paradigms include logic and deduction, heuristic and constraint-based search, model-based reasoning, planning and execution, and machine learning. Optimization paradigms include linear programming, integer programming, and dynamic programming. Decision-making paradigms include decision theoretic planning, and Markov decision processes.",https://ocw.mit.edu/courses/16-410-principles-of-autonomy-and-decision-making-fall-2010/,16-410,"Systems Thinking; Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Social Sciences; Economics; Science & Math; Cognitive Science; Business & Management; Engineering; Systems Engineering",Prof. Brian Charles Williams; Prof. Emilio Frazzoli,Anytime,2010
RAISE (Responsible AI for Social Empowerment and Education),RAISE (Responsible AI for Social Empowerment and Education) is a new MIT-wide initiative headquartered in the MIT Media Lab and in collaboration with the MIT Schwarzman College of Computing and MIT Open Learning. MIT researchers continually develop curriculum modules and associated teaching materials that are available to all K-12 educators for free under a Creative Commons license.,https://ocw.mit.edu/courses/res-mas-001-raise-responsible-ai-for-social-empowerment-and-education-spring-2022/,RES-MAS-001,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Education & Teaching; Pedagogy and Curriculum; Engineering",MIT RAISE,Anytime,2022
Relational Machines,"This course examines the issues, principles, and challenges toward building relational machines through a combination of studio-style design and critique along with lecture, lively discussion of course readings, and assignments. Insights from social psychology, human-computer interaction, and design will be examined, as well as how these ideas are manifest in a broad range of applications for software agents and robots.",https://ocw.mit.edu/courses/mas-965-relational-machines-spring-2005/,MAS-965,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Art, Design & Architecture; Media Studies; Engineering; Electrical Engineering",Prof. Cynthia Breazeal,Anytime,2005
Robocraft Programming Competition,"The 6.370 Robocraft programming competition is a unique challenge that combines battle strategy and software engineering. In short, the objective is to write the best player program for the computer game Robocraft.",https://ocw.mit.edu/courses/6-370-robocraft-programming-competition-january-iap-2005/,6-370,"Data Science, Analytics & Computer Technology; AI; Software Design and Engineering; Machine Learning; Computer Science; Art, Design & Architecture; Game Design; Engineering; Electrical Engineering",Prof. Michael Ernst,Anytime,2005
